DATE,High,Low

20160101,80,60

20160102,83,55

20160103,84,57

20160104,83,59

20160105,83,58

20160106,84,60

20160107,82,63

20160108,80,61

20160109,83,59

20160110,83,60

20160111,82,59

20160112,83,59

20160113,81,60

20160114,83,59

20160115,82,59

20160116,84,60

20160117,84,61

20160118,83,61

20160119,79,64

20160120,78,67

20160121,84,66

20160122,78,65

20160123,80,65

20160124,85,65

20160125,84,65

20160126,85,66

20160127,85,66

20160128,89,64

20160129,87,64

20160130,86,63

20160131,89,62

20160201,89,62

20160202,90,61

20160203,88,61

20160204,87,63

20160205,86,62

20160206,87,62

20160207,87,63

20160208,89,67

20160209,89,65

20160210,89,65

20160211,90,68

20160212,89,67

20160213,90,67

20160214,88,66

20160215,86,63

20160216,88,66

20160217,87,65

20160218,85,67

20160219,89,64

20160220,92,67

20160221,94,68

20160222,96,70

20160223,94,66

20160224,92,69

20160225,92,72

20160226,88,69

20160227,89,66

20160228,88,68

20160229,87,67

20160301,89,66

20160302,87,67

20160303,91,67

20160304,93,65

20160305,92,66

20160306,92,66

20160307,92,66

20160308,94,66

20160309,95,67

20160310,94,69

20160311,95,70

20160312,96,72

20160313,94,73

20160314,94,76

20160315,92,72

20160316,94,71

20160317,93,73

20160318,95,75

20160319,96,74

20160320,94,74

20160321,96,76

20160322,97,76

20160323,96,76

20160324,96,76

20160325,95,73

20160326,95,70

20160327,97,69

20160328,96,70

20160329,94,70

20160330,95,73

20160331,95,73

20160401,96,74

20160402,96,74

20160403,97,75

20160404,98,75

20160405,98,74

20160406,96,74

20160407,97,76

20160408,96,74

20160409,92,76

20160410,94,75

20160411,98,75

20160412,99,76

20160413,99,77

20160414,99,78

20160415,100,78

20160416,98,77

20160417,100,76

20160418,98,77

20160419,98,76

20160420,99,77

20160421,99,76

20160422,98,76

20160423,100,78

20160424,103,74

20160425,99,74

20160426,96,73

20160427,97,74

20160428,98,76

20160429,99,76

20160430,98,76

20160501,99,76

20160502,98,76

20160503,97,76

20160504,96,78

20160505,96,73

20160506,94,71

20160507,93,70

20160508,93,71

20160509,93,70

20160510,93,74

20160511,92,73

20160512,94,75

20160513,94,72

20160514,95,74

20160515,94,76

20160516,87,75

20160517,83,76

20160518,82,70

20160519,86,68

20160520,87,67

20160521,91,70

20160522,92,71

20160523,93,72

20160524,93,73

20160525,92,73

20160526,93,72

20160527,91,74

20160528,92,71

20160529,83,68

20160530,88,71

20160531,88,72

20160601,92,71

20160602,82,70

20160603,89,70

20160604,87,69

20160605,87,71

20160606,89,71

20160607,88,71

20160608,82,70

20160609,83,70
